row 	 col 	 val 
1 	 1	 -3.600000e+01 
1 	 2	 9.000000e+00 
1 	 5	 9.000000e+00 
2 	 2	 -3.600000e+01 
2 	 1	 9.000000e+00 
2 	 3	 9.000000e+00 
2 	 6	 9.000000e+00 
3 	 3	 -3.600000e+01 
3 	 2	 9.000000e+00 
3 	 4	 9.000000e+00 
3 	 7	 9.000000e+00 
4 	 4	 -3.600000e+01 
4 	 3	 9.000000e+00 
4 	 8	 9.000000e+00 
5 	 5	 -3.600000e+01 
5 	 6	 9.000000e+00 
5 	 1	 9.000000e+00 
5 	 9	 9.000000e+00 
6 	 6	 -3.600000e+01 
6 	 5	 9.000000e+00 
6 	 7	 9.000000e+00 
6 	 2	 9.000000e+00 
6 	 10	 9.000000e+00 
7 	 7	 -3.600000e+01 
7 	 6	 9.000000e+00 
7 	 8	 9.000000e+00 
7 	 3	 9.000000e+00 
7 	 11	 9.000000e+00 
8 	 8	 -3.600000e+01 
8 	 7	 9.000000e+00 
8 	 4	 9.000000e+00 
8 	 12	 9.000000e+00 
9 	 9	 -3.600000e+01 
9 	 10	 9.000000e+00 
9 	 5	 9.000000e+00 
9 	 13	 9.000000e+00 
10 	 10	 -3.600000e+01 
10 	 9	 9.000000e+00 
10 	 11	 9.000000e+00 
10 	 6	 9.000000e+00 
10 	 14	 9.000000e+00 
11 	 11	 -3.600000e+01 
11 	 10	 9.000000e+00 
11 	 12	 9.000000e+00 
11 	 7	 9.000000e+00 
11 	 15	 9.000000e+00 
12 	 12	 -3.600000e+01 
12 	 11	 9.000000e+00 
12 	 8	 9.000000e+00 
12 	 16	 9.000000e+00 
13 	 13	 -3.600000e+01 
13 	 14	 9.000000e+00 
13 	 9	 9.000000e+00 
14 	 14	 -3.600000e+01 
14 	 13	 9.000000e+00 
14 	 15	 9.000000e+00 
14 	 10	 9.000000e+00 
15 	 15	 -3.600000e+01 
15 	 14	 9.000000e+00 
15 	 16	 9.000000e+00 
15 	 11	 9.000000e+00 
16 	 16	 -3.600000e+01 
16 	 15	 9.000000e+00 
16 	 12	 9.000000e+00 
