x_true 	 x_rec 
0.000000e+00 	 -2.872412e-19
0.000000e+00 	 -5.744842e-19
0.000000e+00 	 -8.617298e-19
0.000000e+00 	 -1.148982e-18
0.000000e+00 	 -1.436255e-18
0.000000e+00 	 -1.723471e-18
0.000000e+00 	 -2.010785e-18
0.000000e+00 	 -2.298156e-18
0.000000e+00 	 -2.585518e-18
0.000000e+00 	 -2.872931e-18
0.000000e+00 	 -3.160435e-18
0.000000e+00 	 -3.448006e-18
0.000000e+00 	 -3.735587e-18
0.000000e+00 	 -4.023055e-18
0.000000e+00 	 -4.310390e-18
0.000000e+00 	 -4.597712e-18
0.000000e+00 	 -4.884480e-18
0.000000e+00 	 -5.170607e-18
0.000000e+00 	 -5.456166e-18
0.000000e+00 	 -5.741057e-18
0.000000e+00 	 -6.024926e-18
0.000000e+00 	 -6.307655e-18
0.000000e+00 	 -6.589714e-18
0.000000e+00 	 -6.869871e-18
0.000000e+00 	 -7.150881e-18
0.000000e+00 	 -7.430727e-18
0.000000e+00 	 -7.709608e-18
0.000000e+00 	 -7.987518e-18
0.000000e+00 	 -8.262902e-18
0.000000e+00 	 -8.536650e-18
0.000000e+00 	 -8.809647e-18
0.000000e+00 	 -9.073056e-18
0.000000e+00 	 -9.330198e-18
0.000000e+00 	 -9.587183e-18
0.000000e+00 	 -9.842667e-18
0.000000e+00 	 -1.009539e-17
0.000000e+00 	 -1.034385e-17
0.000000e+00 	 -1.059210e-17
0.000000e+00 	 -1.083807e-17
0.000000e+00 	 -1.108056e-17
0.000000e+00 	 -1.131946e-17
0.000000e+00 	 -1.154772e-17
0.000000e+00 	 -1.177397e-17
0.000000e+00 	 -1.199452e-17
0.000000e+00 	 -1.221008e-17
0.000000e+00 	 -1.242056e-17
0.000000e+00 	 -1.262753e-17
0.000000e+00 	 -1.282933e-17
0.000000e+00 	 -1.302435e-17
0.000000e+00 	 -1.321246e-17
0.000000e+00 	 -1.339331e-17
0.000000e+00 	 -1.356809e-17
0.000000e+00 	 -1.373579e-17
0.000000e+00 	 -1.389609e-17
0.000000e+00 	 -1.404845e-17
0.000000e+00 	 -1.419300e-17
0.000000e+00 	 -1.432879e-17
0.000000e+00 	 -1.445693e-17
0.000000e+00 	 -1.457792e-17
0.000000e+00 	 -1.469305e-17
